Municipio;pop_censo;Escolarizacao;IDHM;Mortalidade_infantil;PIB;2020;2021;2022;2023;2024
Terra Alta;10400;97.4;0.605;14.08;6937.27;0.209624941;0.130779333;0.099799694;0.264716946;0
Terra Santa;18782;97;0.635;29.85;27253.9;2.786888799;3.893341726;4.930948184;5.573530433;4.520062304
Tome_Acu;67585;95.6;0.586;9.38;16107.91;15.95468327;22.90450942;22.49279848;14.90296015;23.95695927
Tracuateua;28595;95.6;0.531;17.03;9044.03;0.076992914;0.284244402;0;1.004569425;0
Trairao;15242;94.3;0.562;20.62;16931.49;82.33122586;120.3925491;113.4990876;26.93817501;44.22609762
Tucuma;39550;96.5;0.659;19.83;24210.5;2.444848693;0.87099536;0.863873767;3.943379838;0.502511185
Tucurui;91306;94.9;0.666;12.37;48149.75;8.641882136;14.40071268;7.319524862;10.81698879;8.562637203
Ulianopolis;37972;82.7;0.604;4.95;32043.86;57.04497476;74.79258974;17.2238585;22.2016774;22.90121226
Uruara;43558;92.1;0.589;21.63;17062.01;133.3691437;139.6123537;193.6343634;103.6474295;97.62428951
Vigia;50832;97.3;0.617;19.29;8724.37;0.544041493;0.334247406;0.378224978;0;0
Viseu;58692;94.9;0.515;14.53;9961.97;8.651952558;3.926918744;1.385996846;6.057668456;1.505039928
Vitoria do Xingu;15607;94.2;0.596;9.68;274351.7;8.436323987;4.325976221;3.23229894;2.358055541;1.029522995
Xinguara;52893;96.6;0.646;10.75;35340.41;1.455380818;0.895431537;2.393859017;1.017370113;0.329678803
